VOTER_ID	PIN_HASH	LASTNAME	FIRSTNAME	MIDDLE	SSN	MAILINGADDRESS	ZIP	SMD	SPLIT
232960877	65be9158e5394f156c0efb3b88ed332cfde30341	Gerhold	Paolo	U	00005064	100 / 100 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
540687674	32ad2bbbf691a77f91895c8d2999ab856c26db59	Farrell	Kole	M	NULL	100 / 101 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
303709118	cc4ac74d892be5b04535c57fb97fff902636ceb8	Leuschke	Alejandra	X	00001825	100 / 102 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
285815058	4f7aaf82301d424740505a5cb00b1e87a6f843d9	Jast	Vickie	M	00000016	100 / 103 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
958730918	3ff6e925b69e07aebd2136039d8d7319879395c5	Collins	Cody	NULL	00007780	100 / 104 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
874710330	b1432d1892824fd3d157a068bf11befcf653b9cd	Crist	Armando	NULL	00005224	100 / 105 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
750649525	35627ced2e452c363bc3ff0c88d8c1b69d36f5af	Carter	Tia	X	00006530	100 / 106 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
773548558	d7451d9cddd301eb5c89c63a57bb9ade3789f9e6	Bosco	Guadalupe	U	00003920	100 / 107 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
943967985	80c286e7533ca2195ca277e1341e431fd09ae935	Mertz	Ken	K	00005861	100 / 108 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
196478339	ac9c8368965d5c501a6209e3aa13d57dd9c16408	Schneider	Neva	D	00004485	100 / 109 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
724439475	7abd62b3bf6e8b439c0b65f4daa3508636fe8870	Pouros	Muhammad	H	00009802	100 / 110 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
483170151	33a79d152647452f3f99225d6566fbc2a7b6c9e5	Jacobi	Jena	T	00003919	100 / 111 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
521044271	4b48772c915328579511042d58af075065a7536b	Goldner	Katelynn	W	00002087	100 / 112 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
027030882	8d88d59b675e6752030e8a9d3cc87f86d9d7ca83	Turner	Rosie	K	00001957	100 / 113 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
812582768	88db4d20516b20c137e6641a940a13d8f502473c	Thompson	Judd	U	00002261	100 / 114 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
119350165	e239a360be9b255231ad9ca4e1c6fb49e4cf73e2	Haag	Reese	B	00001523	100 / 115 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
486926808	89cba6e9e79611dff7fdc9d52b3d1ef13fe23131	Kling	Cullen	NULL	00006491	100 / 116 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
034546724	5b5c01fa67a54e55ce8bdedfc977078c19356007	Bergnaum	Lucius	C	00000651	100 / 117 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
684144876	201cf8c961877bb915efbc00822822b0136cc29d	Bailey	Idella	X	NULL	100 / 118 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
544712503	974a3246df5d4a6272b2f1023e31136cb1647231	Kris	Kaley	D	00008678	100 / 119 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
604053602	33e156d810b96c6bb2efeb43b3f9afaaeb90775f	Tromp	Franz	K	00007733	100 / 120 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
706431925	3047f53716095de34d98555f47182ca46ed52cd7	McDermott	Kattie	W	00007072	100 / 121 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
274558575	1d3631ca9189fc63fcdbde3377781e4ca32531a2	Reinger	Heber	W	00002317	100 / 122 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
669224446	d1cb11e96e7bc08999cab62bbaf97712e0143d37	Hegmann	Brennan	Y	00000293	100 / 123 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
320818458	2afbb093f1defdb3a0717627ac33ba8e4712d120	Langworth	Ron	J	00009022	100 / 124 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
874497593	f3a14bfb1b90b83061b81d44961633fe0ee3e02b	Buckridge	Berniece	Y	00006482	100 / 125 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
931283165	52408d09b22f2ba00a32c8919e01c2f4db12d649	Tromp	Emie	E	NULL	100 / 126 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
773860770	f3adcd253e0a9925eb0812e09b088157dbb8b7ec	Beatty	George	NULL	00004440	100 / 127 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
606352066	95ae26f6420211b78385e441ad6a3bc2a0376da2	Kreiger	Bulah	Z	00002858	100 / 128 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
165441636	a854c114eaaee4541b9db13c5b8a5b5656ec4074	Koss	Derrick	F	00002079	100 / 129 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
265528553	e232ae5acf74e3b0ed08055f61c339ab92f9c4af	Upton	Judy	L	00006671	100 / 130 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
552682070	794881fb381b4c6d4e0b061c4232c7cbbb1fb589	Wiza	Rahul	F	00001590	100 / 131 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
407209660	2c477f83d44125cf5609fd7ec9a93d92bf47c1d9	Bogisich	Natalia	L	00006231	100 / 132 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
028765139	aaaf09d0b678e1ae1fb8699b991865cf9d77e770	Huels	Ernestina	NULL	00001619	100 / 133 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
829934189	9cafb2c84ac86b73592eb1ad166fc4fc34b5e910	Stokes	Catherine	H	00008541	100 / 134 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
738198553	5cce074a9325680b5e0ae05b9585e9053f7d7c82	Erdman	Rey	I	00003374	100 / 135 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
